"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 15 07:05:58 CEST 2023","Sat Apr 15 07:06:13 CEST 2023","15667","it-place.si Smoke test","Smoke test","tests.ItplacesiTest","tests.ItplacesiTest","testWrongNetAmount","testWrongNetAmount","User should not be able to submit if net amount bigger than gross and alert should be displayed"
"passed","Sat Apr 15 07:04:02 CEST 2023","Sat Apr 15 07:04:04 CEST 2023","2415","it-place.si Smoke test","Smoke test","tests.ItplacesiTest","tests.ItplacesiTest","testCompanyAvgSalaryAmount","testCompanyAvgSalaryAmount","Correct average salary amount should be displayed on the company page"
"passed","Sat Apr 15 07:03:26 CEST 2023","Sat Apr 15 07:03:45 CEST 2023","18711","it-place.si Smoke test","Smoke test","tests.ItplacesiTest","tests.ItplacesiTest","testAuthWithLinkedin","testAuthWithLinkedin","User should be able to authorize with Linkedin"
"passed","Sat Apr 15 07:02:59 CEST 2023","Sat Apr 15 07:03:15 CEST 2023","16032","it-place.si Smoke test","Smoke test","tests.ItplacesiTest","tests.ItplacesiTest","testAuthWithGithub","testAuthWithGithub","User should be able to authorize with GitHub"
"passed","Sat Apr 15 07:04:38 CEST 2023","Sat Apr 15 07:04:38 CEST 2023","433","it-place.si Smoke test","Smoke test","tests.ItplacesiTest","tests.ItplacesiTest","testNavLinks","testNavLinks","Navigation links should have correct labels"
"passed","Sat Apr 15 07:05:02 CEST 2023","Sat Apr 15 07:05:47 CEST 2023","45192","it-place.si Smoke test","Smoke test","tests.ItplacesiTest","tests.ItplacesiTest","testSubmitSalaryForm","testSubmitSalaryForm","User should be able to submit salary"
"passed","Sat Apr 15 07:04:28 CEST 2023","Sat Apr 15 07:04:29 CEST 2023","936","it-place.si Smoke test","Smoke test","tests.ItplacesiTest","tests.ItplacesiTest","testCompanyMinSalaryAmount","testCompanyMinSalaryAmount","Correct minimum salary amount should be displayed on the company page"
"passed","Sat Apr 15 07:04:48 CEST 2023","Sat Apr 15 07:04:51 CEST 2023","2465","it-place.si Smoke test","Smoke test","tests.ItplacesiTest","tests.ItplacesiTest","testPageLayout","testPageLayout","User should see proper design"
"passed","Sat Apr 15 07:04:19 CEST 2023","Sat Apr 15 07:04:20 CEST 2023","1063","it-place.si Smoke test","Smoke test","tests.ItplacesiTest","tests.ItplacesiTest","testCompanyMaxSalaryAmount","testCompanyMaxSalaryAmount","Correct maximum salary amount should be displayed on the company page"
